"","RNA.g0","RNA.g1","RNA.g2","RNA.g3","RNA.g4","RNA.g5","RNA.g6","RNA.g7","RNA.g8","RNA.g9","RNA.g10","RNA.g11","RNA.g12"
"RP11-84A19.4",0.0466284695536241,0.0342631387592665,0.0314350016058618,0.0521525803870659,0.0319817637918155,0.0145688757986118,0.0163453076336579,0.0188550356817384,0.0545573189173153,0.016362747074211,0.0100947526999446,0.132336704804685,0
"RP11-277A4.4",0.0560687270342632,0.0465476012762494,0.0508532757567639,0.0560528701986423,0.0611460712061019,0.0401361894089114,0.0407641768889256,0.0523226863567756,0.0390741533027055,0.0458254333125914,0.024465669683183,0.102523639629575,0
"RP4-622L5.7",0.00286971182424445,0.0029636956160637,0.0103963414446647,0.0123089543940109,0.00589394178975348,0.002392942265975,0.0045335942566416,0.0017849098013681,0.00654215575952693,0.0239575510798082,0.0135308671739265,0,0
"RP1-117O3.2",0.0532506807061147,0.0476604039747836,0.0473413228010614,0.0405982214337266,0.0947266606437739,0.0659946730355246,0.040013873518849,0.0503497622715032,0.0196602590173457,0.0467041486193333,0.0285232003463949,0.0132730207271492,0
"RP11-415J8.3",0.0562119447535372,0.0753784269700053,0.0363404217391966,0.0321223490745935,0.472952463532303,0.0801485071322409,0.0565698412338865,0.147073920751078,0.0150204135071332,0.0354831326513429,0.00508231220344517,0.0585304615964922,0
"RP11-415J8.5",0.0278817738156226,0.0442226193894863,0.0271614660236667,0.02134737426187,0.0572584846858415,0.0454404346088552,0.0101164473379547,0.015346913446022,0.0135009915680552,0.0289762998187635,0.00521604531529037,0.1384209293399,0
"ZMYM4-AS1",0.0232193921686664,0.0178207703128161,0.0155310414897148,0.0273616999244072,0.0808193440438112,0.0653268540835188,0.0598138465170139,0.0580449203367535,0.014327710444911,0.034485482434939,0.00847955420863077,0.0445799675457836,0
"RP4-728D4.2",0.00986675996048187,0.0131750322239721,0.015191755450795,0.0280531182974881,0.0343211366796868,0.0176912163077578,0.0115425604529657,0.0117556349182837,0.0207321070157163,0.00316331666160009,0.0102857856114156,0,0
"RP4-789D17.5",0.00506402176300198,0.00353372199969644,0.00457882329022497,0.000498110384772825,0,0.00290316767775706,0,0.00141446777043245,0,0,0.00178871293518491,0.0189816712981945,0
"RP4-665N4.8",0.061080647504297,0.071115417009876,0.0505148976473279,0.0421574112103958,0.0822883131263516,0.0622423726225897,0.0437265143891446,0.0674632325596879,0.0381415188660988,0.145630382762668,0.0209782113239022,0.0177210703526493,0.0750354784674516
"RP11-268J15.5",0.00775533400362214,0.0236694282515235,0.0221633842866552,0.0896298492908742,0.0660774135654649,0.00766514267909417,0.0232508258686662,0.0910519943402375,0.0364945553359738,0.0682627648040177,0.0842608178767859,0,0
"RP5-1180C18.1",0.0201506333792225,0.155038890461717,0.00700053237152707,0.0174504219625182,0.00183513631791088,0.00163957750507149,0,0.0035188835552493,0.00277353245915351,0,0.00806725258972162,0,0
"LINC01137",0.107316073298362,0.17027261559668,0.0869200683839098,0.00692545290570569,0.046892429311961,0.0198052033646903,0.0522973465976805,0.0219804968326369,0,0.0731603463099779,0.0538721813729607,0.0317206552218543,0.147301454777882
"RP11-109P14.10",0.0749454694159642,0.0913438431675034,0.135223456513564,0.0581349723777371,0.105299282264102,0.033896968400662,0.0421123633359458,0.0748048787769788,0.0383181245536904,0.0652925832820267,0.0324243871355917,0.0909570331889584,0.126216448969894
"RP5-884C9.2",0.0105821857958409,0.00288410811516297,0.254207830481403,0.0369408767799248,0.0130450017933869,0.0203389041856987,0.00232648746664233,0.132035625397529,0.0134079971876029,0.0131234732088962,0.00578937958865954,0.0224793864026688,0
"RP11-329N22.1",0.00115804077902453,0.00142362106279319,0.00295147675272401,0.00170839283302904,0.00141402651724516,0,0.000670722390819474,0,0,0,0.00110784990473956,0,0
"RP5-864K19.4",1.17034035362647,1.55933285632244,1.97013406201117,1.7501459975358,0.580740125230562,0.610672654760674,0.215049812341704,0.372001374773795,1.25659413487724,0.819987230575369,2.23000506401807,1.18500935009891,0.380986776807944
"RP11-420K8.1",0.0204655090753354,0.0185890781497508,0.0591755436030528,0.0201302583506927,0.0166640590220658,0.0298941512532087,0.026697307687433,0.022142836777494,0.00901289922400606,0.029761598406884,0.00251814981086459,0,0.0308256654490529
"RP11-69E11.8",0.000870738535321833,0.00136210163205586,0.000634179983424454,0.000478516319234811,0.006540849964286,0.0015362666829014,0,0.00179595959378268,0,0.00499869284182186,0,0,0
"RP1-39G22.7",0.0730017100737857,0.0723484661181066,0.059177511803411,0.0380377954407411,0.0352135774850964,0.0476195610947078,0.0220630604309234,0.0542969866879201,0.0277122472684724,0.0344787272364033,0.0169473027822744,0.0184080700979309,0.0507426182176148
"RP11-656D10.3",0.281595538215609,0.257610942144325,0.276411717885441,0.170815007491631,0.207964926240507,0.309362894147419,0.0778400553830681,0.15315834159187,0.0949046058713156,0.152532282275086,0.105281662541003,0.334095776102366,0.281162952059677
"RP4-739H11.3",0.0127933797889501,0.00526458174524201,0.00945540441440286,0.0130519532243357,0.0110894624205619,0.0117144588877277,0.00605974324030816,0.0114198490673114,0.00868424269442975,0.0179592511712876,0.00456074245589414,0,0.0215909041838854
"NFYC-AS1",0.037658489142126,0.02616271544216,0.0248205655247173,0.0192460024602452,0.0326895991017053,0.0209455917424242,0.0137814473519714,0.00909288964407137,0.0303581550100766,0.0257668470649407,0.00963986200166147,0,0
"SLFNL1-AS1",0.0376933221607686,0.0353260329861139,0.0351963358427613,0.0310645290073723,0.0775522326962978,0.0278632670564928,0.0264950126383579,0.0440817870543278,0.0323596813701059,0.0438059154080329,0.0288562592568218,0.0271695527086279,0.0586771816176125
"RP11-399E6.1",0.0356565459759091,0.0638690714621319,0.149334423939241,0.154619736288293,0.0719660486822485,0.0525283249135808,0.0175751330778358,0.0419591759086969,0.05812132934114,0.0501468434617936,0.119901598648235,0.288481997117842,0.0245782978545604
"RP11-399E6.4",0.000587743773535135,0,0.00178880071712486,0,0,0,0,0.00363694951586747,0,0.0220643987199323,0,0,0
"RP5-994D16.3",0.00524253024715264,0.00759758547136974,0.00627664788573065,0.00916141354650712,0.00318246906207195,0.0060573296272009,0,0,0.00455225453434608,0,0.00989460350552953,0,0.0664103228205792
"RP11-342M1.3",0.0160243557581299,0.0140899255075774,0.0114257220958031,0.000634259228616156,0.0289084344300952,0,0.0133867594107201,0.00873131183589335,0.00111073166097445,0.0019665927031151,0,0,0.0229729791818863
"SLC2A1-AS1",0.0430408701219449,0.0863012999779622,0.209117888779654,0.101291714110238,0.0144620342122579,0.044381842656019,0.197373512359844,0.0843802018148446,0.0475204978192782,0.0657496765673399,0.0821977222863077,0.0619273349795137,0.0491468113548793
"RP1-92O14.3",0.111157676124934,0.07756609814697,0.0335574555614039,0.00425948381659903,0.0361298416210348,0.00722643926078117,0.0198738583602005,0.0179527260972339,0.00356195862202541,0.0434409122734906,0.00197605495645961,0,0.0653621469151234
"RP1-92O14.6",0.00428325717241513,0.00307964778459065,0.00160130812650696,0.000107876132439139,0.00645862500337559,0.000766535864986665,0.0014659775301647,0,0,0,0,0,0
"KDM4A-AS1",0.0184118999747507,0.0197324908356429,0.0534248262280149,0.0259143834624525,0.0310682062764718,0.0359695343070119,0.0119393425506891,0.0196022701097704,0.0287893841809437,0.0636663763605478,0.0188257998267288,0,0
