"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC003090.1",0.0590875998031144,-0.41311938635429,0.064,0.115,1
"AL035610.2",0.0594380959012162,0.531660466776257,0.113,0.057,1
"MIR24-2",0.0644646168694946,-1.48379687399312,0.068,0.115,1
"RP3-331H24.5",0.0646492000506524,0.497397298069118,0.151,0.092,1
"RP11-803B1.8",0.065951775549122,0.729644561877005,0.125,0.069,1
"RP11-57H12.3",0.0660633830546859,0.503630264994129,0.426,0.333,1
"RP11-122M14.1",0.0671028512326527,-0.399714829585411,0.298,0.374,1
"RP11-472I20.3",0.0676489209629768,0.544243980314581,0.332,0.241,1
"EBLN3P",0.0683103375286931,0.63341810873299,0.215,0.144,1
"RP11-454P21.1",0.0689883149275601,1.38749338921042,0.128,0.075,1
"RP1-101K10.6",0.0691267758550276,0.538990960517453,0.102,0.052,1
"NBAT1",0.0696473659573029,0.611131567815409,0.128,0.075,1
"RP11-418J17.1",0.0703045649400896,0.39931790072978,0.4,0.31,1
"RP11-486O13.4",0.070849607774685,0.624466797131362,0.317,0.241,1
"MEF2C-AS1",0.071555687138306,-0.426910330490865,0.177,0.241,1
"KANTR",0.0719338403692059,0.276803543695311,0.468,0.362,1
"CTD-3184A7.4",0.0737753803909202,-0.409797067549296,0.06,0.109,1
"GNG12-AS1",0.0745913183919787,0.377611948046979,0.291,0.207,1
"CTC-340D7.1",0.0752921750953151,-0.766633875478436,0.147,0.207,1
"UBA6-AS1",0.0753103695081421,0.961416085735519,0.181,0.121,1
"CTA-204B4.2",0.0764559586768808,-0.524468136214378,0.06,0.109,1
"RP4-665N4.8",0.0764775258203766,0.394180413871096,0.117,0.063,1
"PACRG-AS3",0.0767366525311403,0.994885492030041,0.17,0.109,1
"LINC01301",0.0778700191971896,-0.710018646223417,0.158,0.224,1
"RP11-296O14.3",0.0783577105440886,0.380871216831974,0.366,0.276,1
"NRIR",0.0795551328090315,-0.766461406695132,0.128,0.184,1
"LINC01182",0.0829253835389113,-0.629100677392454,0.072,0.121,1
"CTD-2544H17.1",0.0835069213874742,-1.10919831922156,0.075,0.121,1
"FAM66C",0.0837426534921125,-0.421173451490822,0.185,0.253,1
"CTD-2015H6.3",0.08529044616416,-0.778533442009226,0.117,0.172,1
"RP11-324I22.4",0.0864341248491242,0.444814432181555,0.257,0.184,1
"USP3-AS1",0.0909500506400198,-0.894330506977991,0.113,0.167,1
"RP11-26J3.1",0.0911188819893153,0.399631981453518,0.128,0.075,1
"AC010127.3",0.0911894890076344,0.661774586767491,0.325,0.253,1
"TMEM72-AS1",0.0916977138921071,-1.12462933404329,0.075,0.121,1
"RP11-561I11.4",0.0925244582568618,0.645074168741161,0.17,0.109,1
"LINC01505",0.0937555743956636,-0.69780819423965,0.087,0.138,1
"AADACL2-AS1",0.0945989577515096,-0.764877802806581,0.106,0.155,1
"AC107218.3",0.0946280140623443,0.579366682750103,0.2,0.138,1
"RP11-91P24.7",0.0958172012856262,-0.830032075405099,0.094,0.144,1
"TTTY10",0.0971647184290795,-1.08453248964581,0.087,0.132,1
"AC105760.2",0.099734121568214,0.868784842634538,0.109,0.063,1
"RP11-147L13.15",0.100008930415362,-0.538238682572575,0.226,0.287,1
"NNT-AS1",0.100693465469771,-0.533857586705259,0.189,0.241,1
"RP11-496I9.1",0.101607689564805,-0.871916613628923,0.072,0.115,1
"BDNF-AS",0.101833309002614,-0.389830087950251,0.415,0.466,1
"ZBED5-AS1",0.104980676442667,0.458361669798184,0.245,0.178,1
"RP11-370I10.6",0.106645209256034,-0.875315435374902,0.155,0.207,1
"AP002954.4",0.106746774858295,0.825920196083719,0.102,0.057,1
"ZNF667-AS1",0.109037662815014,0.561813230254064,0.181,0.121,1
"LINC00632",0.110942082927539,-0.256752223091679,0.645,0.69,1
"SEPT7-AS1",0.111095737838186,0.462553042422652,0.117,0.069,1
"LINC01410",0.11166466374876,0.907658705437287,0.128,0.08,1
"NORAD",0.111792380288807,0.7411035723111,0.362,0.293,1
"AC037445.1",0.113135146651331,0.54859846990163,0.102,0.057,1
"AP001172.2",0.113455801864925,0.525745604985154,0.117,0.069,1
