"gene","cluster_id","logFC","p_val","p_adj.loc"
"AC144449.1","Astrocytes",-0.724,0.00351,0.0467
"CH17-189H20.1","Astrocytes",0.938,0.00376,0.0493
"AP000797.3","Ependymal Cells",-2.95,7.18e-05,0.0434
"DLX6-AS1","Excitatory Neurons (SubtypeA)",-8.26,1.41e-28,2.32e-25
"LINC01376","Excitatory Neurons (SubtypeA)",-1.2,1.14e-08,9.39e-06
"CTD-2544M6.1","Excitatory Neurons (SubtypeA)",-1.38,3.66e-08,2.01e-05
"LINC00923","Excitatory Neurons (SubtypeA)",-1.19,2.29e-07,9.4e-05
"RP11-475O6.1","Excitatory Neurons (SubtypeA)",-1.1,3.22e-07,0.000106
"MIR222HG","Excitatory Neurons (SubtypeA)",-3.17,1.77e-06,0.00047
"LINC01310","Excitatory Neurons (SubtypeA)",-2.75,2e-06,0.00047
"RP11-1129I3.1","Excitatory Neurons (SubtypeA)",1.11,4.25e-06,0.000777
"CTD-2009A10.1","Excitatory Neurons (SubtypeA)",1.29,4.05e-06,0.000777
"RP11-154H17.1","Excitatory Neurons (SubtypeA)",-1.61,5.18e-06,0.000852
"DKFZP434L187","Excitatory Neurons (SubtypeA)",2.09,8.63e-06,0.00126
"RP11-522B15.3","Excitatory Neurons (SubtypeA)",-2.28,9.21e-06,0.00126
"RP11-428O18.6","Excitatory Neurons (SubtypeA)",-0.954,1.08e-05,0.00137
"PKN2-AS1","Excitatory Neurons (SubtypeA)",-1.53,3.32e-05,0.00341
"AC079154.1","Excitatory Neurons (SubtypeA)",1.29,3.17e-05,0.00341
"AC008060.7","Excitatory Neurons (SubtypeA)",3.35,3.06e-05,0.00341
"RP11-351M8.2","Excitatory Neurons (SubtypeA)",-1.04,4.07e-05,0.00394
"RP11-692D12.1","Excitatory Neurons (SubtypeA)",-0.791,5.17e-05,0.00447
"AC091814.2","Excitatory Neurons (SubtypeA)",1.77,4.91e-05,0.00447
"TEX41","Excitatory Neurons (SubtypeA)",-2.3,6.77e-05,0.00557
"RP11-679B19.1","Excitatory Neurons (SubtypeA)",2.17,8.17e-05,0.0064
"AC005592.2","Excitatory Neurons (SubtypeA)",-0.883,8.57e-05,0.00641
"RP11-446J8.1","Excitatory Neurons (SubtypeA)",-1.07,0.000105,0.00753
"RP11-337C18.8","Excitatory Neurons (SubtypeA)",0.651,0.000116,0.00795
"RP11-197K6.1","Excitatory Neurons (SubtypeA)",-1.46,0.000131,0.00812
"LINC00271","Excitatory Neurons (SubtypeA)",-0.898,0.000133,0.00812
"KB-1507C5.4","Excitatory Neurons (SubtypeA)",-0.948,0.000124,0.00812
"RP11-60I3.4","Excitatory Neurons (SubtypeA)",1.73,0.000147,0.00836
"AC007796.1","Excitatory Neurons (SubtypeA)",-1.21,0.000147,0.00836
"LINC01239","Excitatory Neurons (SubtypeA)",-2.29,0.000171,0.00936
"RP11-20E24.1","Excitatory Neurons (SubtypeA)",-1.26,0.000182,0.00968
"PVRL3-AS1","Excitatory Neurons (SubtypeA)",-1.23,0.000205,0.0102
"RP11-1007O24.3","Excitatory Neurons (SubtypeA)",0.884,0.000201,0.0102
"RP11-146I2.1","Excitatory Neurons (SubtypeA)",2.33,0.000218,0.0105
"RP11-305L7.3","Excitatory Neurons (SubtypeA)",1.01,0.000223,0.0105
"RP11-804N13.1","Excitatory Neurons (SubtypeA)",-0.829,0.000233,0.0106
"AF146191.4","Excitatory Neurons (SubtypeA)",0.562,0.000265,0.0112
"CTD-2140G10.2","Excitatory Neurons (SubtypeA)",1.11,0.000252,0.0112
"MIR7-3HG","Excitatory Neurons (SubtypeA)",-1.61,0.000264,0.0112
