"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC00667",1.6113812324147e-16,0.2807611686502,0.233,0.197,4.30835000110719e-12
"RP11-381K20.2",1.97846389299007e-16,-0.283342354734448,0.285,0.32,5.28981891068755e-12
"RP13-188A5.1",1.98201280044281e-16,-0.385355701777488,0.1,0.128,5.29930762454395e-12
"RP11-398K22.12",2.31104141817513e-16,-0.38458510055245,0.135,0.164,6.17903143977484e-12
"LINC01266",4.4409720493573e-16,-0.466848627307067,0.109,0.136,1.18738269683666e-11
"RP11-120D5.1",6.09505619339239e-16,-0.524789517074735,0.08,0.104,1.62963517442732e-11
"CTA-292E10.6",8.64283989005758e-16,-0.322749198068811,0.13,0.16,2.31083610140469e-11
"AC093388.3",3.65300751678509e-15,-0.54141063853555,0.136,0.162,9.7670461976283e-11
"SNHG22",6.60160090614954e-15,-0.355025176995016,0.144,0.173,1.7650700342772e-10
"AC009948.5",1.10048465636193e-14,0.5467081596796,0.105,0.082,2.9423658257149e-10
"PHF1",1.13831737795595e-14,0.306488530331241,0.182,0.152,3.04351917344082e-10
"DICER1-AS1",1.18201214491909e-14,-0.423154565591106,0.15,0.177,3.16034587187016e-10
"AC097721.2",2.13303010237487e-14,0.358731424090155,0.122,0.096,5.70308258471968e-10
"RP11-35G9.5",1.03512897865863e-13,0.469871826553689,0.125,0.101,2.76762435023957e-09
"RP11-461O7.1",1.39482232435198e-13,-0.364641426873342,0.113,0.139,3.72933644861990e-09
"AP001347.6",1.84010935134259e-13,0.37209457382109,0.186,0.159,4.91990037268468e-09
"AC091878.1",4.03146659750039e-13,0.50307247560433,0.149,0.125,1.07789322417368e-08
"RP11-167P20.1",4.73130049321026e-13,-0.285164492208341,0.194,0.224,1.26500781286963e-08
"LINC00685",6.58131633383575e-13,0.373868867167497,0.168,0.141,1.75964654817767e-08
"CTB-113D17.1",3.8938836685502e-12,0.338651445682673,0.116,0.094,1.04110767646027e-07
"RP11-410D17.2",8.91125234314559e-12,-0.374641489716706,0.114,0.137,2.38260153898684e-07
"IDI2-AS1",9.99281680540025e-12,-0.467649041925023,0.08,0.1,2.67177942925987e-07
"SEMA6A-AS1",1.48106446479933e-11,0.340808307677865,0.132,0.109,3.95992205953397e-07
"TMEM9B-AS1",1.90295838176918e-11,-0.316780230545047,0.12,0.144,5.08793982533626e-07
"RP11-2B6.3",1.40036450837604e-10,0.270878570127847,0.176,0.151,3.74415458604503e-06
"RP11-196G11.2",1.41294995882254e-10,0.308412547558727,0.128,0.106,3.77780430490381e-06
"AC005592.2",2.00315745628759e-10,-0.332600645875817,0.134,0.157,5.35584209087614e-06
"SDCBP2-AS1",2.48879318261119e-10,-0.277038236320083,0.129,0.152,6.65428633234755e-06
"RP11-295K2.3",2.51675742396411e-10,-0.266458325239952,0.175,0.199,6.72905432445284e-06
"WAC-AS1",2.70521303440646e-10,-0.306080696923385,0.164,0.188,7.23292809009255e-06
"RP4-537K23.4",2.99980592604259e-10,-0.268265338240467,0.112,0.133,8.02058110446008e-06
"IQCH-AS1",1.19667429830931e-09,0.339174539502934,0.12,0.1,3.1995480713896e-05
"RP11-307P5.1",1.35019334412746e-09,-0.401839897716396,0.082,0.1,3.61001194419359e-05
"ZEB1-AS1",3.77493505840968e-09,0.337126580671765,0.111,0.092,0.0001009304386567
"MIR137HG",4.05641497362321e-09,-0.584594811201275,0.101,0.119,0.000108456367149764
"LINC01182",5.34359370634601e-09,0.336711701652993,0.1,0.082,0.000142871664926573
"ZNF667-AS1",2.10315697795238e-08,-0.290398960014884,0.137,0.157,0.000562321081195128
"RP11-262H14.3",2.80368551772499e-08,-0.415493546483649,0.116,0.134,0.00074962139687413
"PCDH9-AS2",5.43955734945222e-08,-0.373276806726402,0.225,0.244,0.00145437444852304
"LINC00299",1.12590102984629e-07,-0.678970687354522,0.087,0.102,0.00301032158350002
"MIR181A2HG",1.43605589881412e-07,-0.402486256776437,0.129,0.146,0.00383958265665932
"RP11-535M15.1",4.5112650474152e-07,0.358402264694697,0.106,0.09,0.012061769357274
"RP11-739G5.1",1.03356236648755e-06,0.281908524915381,0.104,0.089,0.0276343569927777
"RP11-109A6.5",1.16885343500487e-06,-0.267481234868766,0.09,0.105,0.0312516342917252
"RP11-317N12.1",1.62210449532984e-06,-0.373354963585054,0.094,0.108,0.043370207891634
"TTTY10",1.86674855661764e-06,-0.250371531931135,0.147,0.164,0.049911256158286
"RP11-379B18.6",1.86883200999542e-06,0.390254999667875,0.102,0.088,0.0499669614512476
"RP1-167A14.2",1.96693169257706e-06,-0.268775197525563,0.087,0.101,0.0525898526644329
"RP11-586K2.1",2.56349187029103e-06,0.281792603613751,0.128,0.113,0.0685400821359713
