,gene,cluster_id,baseMean,logFC,lfcSE,stat,p_val,p_adj.loc,p_adj.glb,contrast
7569,LINC01122,Inhibitory Neurons,202,0.718,0.383,1.87,0.0611,0.447,0.382,PD
7570,AC159540.1,Inhibitory Neurons,150,-0.0464,0.268,-0.173,0.863,0.98,0.977,PD
7571,LINC01102,Inhibitory Neurons,27.6,0.16,0.337,0.475,0.635,0.888,0.913,PD
7572,NIFK-AS1,Inhibitory Neurons,13.7,0.266,0.402,0.661,0.509,0.861,0.865,PD
7573,CCNT2-AS1,Inhibitory Neurons,19.7,1.32,0.446,2.95,0.00313,0.0687,0.0791,PD
7574,AC105402.4,Inhibitory Neurons,213,0.431,0.491,0.879,0.38,0.817,0.793,PD
7575,AC144449.1,Inhibitory Neurons,16.1,0.37,0.487,0.759,0.448,0.845,0.83,PD
7576,AC009961.3,Inhibitory Neurons,16.8,0.0666,0.346,0.193,0.847,0.976,0.972,PD
7577,AC010127.3,Inhibitory Neurons,22.2,0.5,0.829,0.603,0.546,0.864,0.879,PD
7578,AC074363.1,Inhibitory Neurons,64.1,0.631,0.348,1.81,0.0698,0.49,0.407,PD
7579,AC007277.3,Inhibitory Neurons,11.9,-0.293,0.432,-0.679,0.497,0.861,0.861,PD
7580,AC079305.11,Inhibitory Neurons,10.9,-0.384,0.663,-0.579,0.562,0.869,0.887,PD
7581,AC009948.5,Inhibitory Neurons,12,0.165,0.612,0.27,0.787,0.965,0.957,PD
7582,TTN-AS1,Inhibitory Neurons,65.7,0.198,0.291,0.681,0.496,0.861,0.86,PD
7583,AC093388.3,Inhibitory Neurons,11.2,0.335,0.41,0.817,0.414,0.821,0.812,PD
7584,AC007038.7,Inhibitory Neurons,20.5,-1.05,0.369,-2.83,0.00459,0.0896,0.0981,PD
7585,AC007563.5,Inhibitory Neurons,47.7,1.81,0.425,4.26,2.05E-05,0.0024,0.00386,PD
7586,RP11-314B1.2,Inhibitory Neurons,55.4,0.184,0.385,0.477,0.633,0.888,0.913,PD
7587,LINC01266,Inhibitory Neurons,22.8,0.344,0.476,0.723,0.47,0.859,0.843,PD
7588,AC026188.1,Inhibitory Neurons,22.7,-0.329,0.365,-0.903,0.366,0.815,0.786,PD
7589,AC018816.3,Inhibitory Neurons,10.3,0.302,0.477,0.634,0.526,0.861,0.873,PD
7590,LMCD1-AS1,Inhibitory Neurons,85,-0.307,0.316,-0.973,0.331,0.792,0.758,PD
7591,THUMPD3-AS1,Inhibitory Neurons,23.9,0.208,0.335,0.621,0.535,0.861,0.875,PD
7592,SLC6A1-AS1,Inhibitory Neurons,15.5,-0.612,0.696,-0.879,0.379,0.817,0.793,PD
7593,FGD5-AS1,Inhibitory Neurons,17.6,-0.191,0.494,-0.388,0.698,0.929,0.933,PD
7594,RBMS3-AS3,Inhibitory Neurons,9.63,-0.0548,0.586,-0.0936,0.925,0.984,0.986,PD
7595,RP4-555D20.2,Inhibitory Neurons,14,0.235,0.429,0.548,0.584,0.879,0.896,PD
7596,RP11-944L7.4,Inhibitory Neurons,15.8,0.0836,0.389,0.215,0.83,0.974,0.968,PD
7597,KIF9-AS1,Inhibitory Neurons,122,-0.205,0.212,-0.964,0.335,0.792,0.762,PD
7598,LINC00877,Inhibitory Neurons,21.6,0.0602,0.435,0.138,0.89,0.984,0.98,PD
7599,LINC00506,Inhibitory Neurons,9.96,-0.138,0.537,-0.257,0.797,0.966,0.96,PD
7600,LINC00882,Inhibitory Neurons,98.3,0.0268,0.201,0.133,0.894,0.984,0.981,PD
7601,DUBR,Inhibitory Neurons,29.7,0.613,0.321,1.91,0.0557,0.425,0.368,PD
7602,RP11-572M11.4,Inhibitory Neurons,15.6,0.282,0.419,0.672,0.502,0.861,0.862,PD
7603,RP11-384F7.2,Inhibitory Neurons,706,0.0664,0.24,0.277,0.782,0.964,0.956,PD
7604,GATA2-AS1,Inhibitory Neurons,12.8,0.208,0.445,0.468,0.64,0.888,0.915,PD
7605,LINC01210,Inhibitory Neurons,117,0.132,0.25,0.53,0.596,0.879,0.901,PD
7606,RP11-2A4.4,Inhibitory Neurons,18.5,0.936,0.535,1.75,0.0801,0.551,0.435,PD
7607,RP11-319G6.1,Inhibitory Neurons,38.7,-0.642,0.28,-2.29,0.0221,0.222,0.238,PD
7608,LINC01322,Inhibitory Neurons,47.7,2.02,0.342,5.91,3.50E-09,1.23E-06,5.93E-06,PD
7609,RP11-368I23.2,Inhibitory Neurons,16.2,0.0265,0.451,0.0589,0.953,0.984,0.991,PD
7610,RP11-33A14.1,Inhibitory Neurons,38.6,1.38,0.59,2.34,0.0191,0.197,0.219,PD
7611,KCNMB2-AS1,Inhibitory Neurons,10.4,-0.809,0.627,-1.29,0.197,0.736,0.638,PD
7612,LINC00884,Inhibitory Neurons,24,0.0115,0.339,0.034,0.973,0.984,0.993,PD
7613,LINC00969,Inhibitory Neurons,138,0.158,0.297,0.532,0.594,0.879,0.9,PD
7614,RP11-1263C18.2,Inhibitory Neurons,11,-0.226,0.48,-0.472,0.637,0.888,0.914,PD
7615,RP11-440L14.1,Inhibitory Neurons,50.7,-0.0275,0.277,-0.099,0.921,0.984,0.986,PD
7616,STX18-AS1,Inhibitory Neurons,52.3,-0.421,0.267,-1.57,0.116,0.615,0.504,PD
7617,LINC00504,Inhibitory Neurons,11.4,-0.676,0.482,-1.4,0.161,0.679,0.582,PD
7618,CPEB2-AS1,Inhibitory Neurons,15,-0.183,0.461,-0.397,0.691,0.924,0.931,PD
7619,RP11-665G4.1,Inhibitory Neurons,36.5,-0.266,0.56,-0.475,0.635,0.888,0.913,PD
7620,TAPT1-AS1,Inhibitory Neurons,43,0.315,0.294,1.07,0.284,0.749,0.72,PD
7621,RP11-584P21.2,Inhibitory Neurons,51.3,0.303,0.276,1.1,0.272,0.746,0.71,PD
7622,UBA6-AS1,Inhibitory Neurons,113,0.117,0.259,0.452,0.651,0.899,0.919,PD
7623,RP11-692D12.1,Inhibitory Neurons,25.7,-1.16,0.322,-3.61,0.000312,0.0137,0.0186,PD
7624,FAM13A-AS1,Inhibitory Neurons,13.5,-0.878,0.39,-2.25,0.0245,0.239,0.253,PD
7625,AC004053.1,Inhibitory Neurons,14.3,-0.744,0.509,-1.46,0.144,0.663,0.552,PD
7626,SEC24B-AS1,Inhibitory Neurons,9.77,-0.359,0.493,-0.728,0.466,0.859,0.841,PD
7627,RP11-679C8.2,Inhibitory Neurons,14.3,0.253,0.572,0.442,0.659,0.903,0.92,PD
7628,RP11-745L13.2,Inhibitory Neurons,95.9,-0.335,0.274,-1.22,0.222,0.736,0.669,PD
7629,RP11-9G1.3,Inhibitory Neurons,23.1,-0.399,0.335,-1.19,0.234,0.736,0.679,PD
7630,RP11-83A24.2,Inhibitory Neurons,27.8,0.356,0.36,0.989,0.323,0.788,0.753,PD
7631,RP11-284M14.1,Inhibitory Neurons,16.2,0.0203,0.5,0.0405,0.968,0.984,0.991,PD
7632,RP11-10K16.1,Inhibitory Neurons,9.57,1.25,0.513,2.45,0.0144,0.197,0.191,PD
7633,RP11-367N14.2,Inhibitory Neurons,10.8,0.571,0.484,1.18,0.238,0.736,0.68,PD
7634,AF146191.4,Inhibitory Neurons,29.1,0.743,0.286,2.59,0.00946,0.142,0.152,PD
7635,CTD-2143L24.1,Inhibitory Neurons,18.4,-0.802,0.48,-1.67,0.095,0.57,0.462,PD
7636,AC091878.1,Inhibitory Neurons,49.4,1.17,0.442,2.65,0.00805,0.134,0.136,PD
7637,RP11-454P21.1,Inhibitory Neurons,19,1.53,0.589,2.59,0.00957,0.142,0.153,PD
7638,RP11-774D14.1,Inhibitory Neurons,23.8,-0.183,0.357,-0.514,0.607,0.888,0.905,PD
7639,RP11-804N13.1,Inhibitory Neurons,10.6,-0.874,0.459,-1.9,0.0572,0.427,0.371,PD
7640,NNT-AS1,Inhibitory Neurons,29.3,0.177,0.366,0.483,0.629,0.888,0.913,PD
7641,RP11-53O19.1,Inhibitory Neurons,18.5,-0.295,0.367,-0.804,0.421,0.821,0.816,PD
7642,CTC-340D7.1,Inhibitory Neurons,27.2,0.32,0.542,0.591,0.555,0.869,0.882,PD
7643,CKMT2-AS1,Inhibitory Neurons,29.7,-0.0575,0.353,-0.163,0.871,0.983,0.977,PD
7644,CTD-2269F5.1,Inhibitory Neurons,18.3,0.302,0.511,0.592,0.554,0.869,0.881,PD
7645,TMEM161B-AS1,Inhibitory Neurons,293,0.442,0.188,2.36,0.0185,0.197,0.219,PD
7646,LINC00461,Inhibitory Neurons,100,-0.253,0.233,-1.09,0.277,0.749,0.715,PD
7647,CTC-467M3.1,Inhibitory Neurons,13.1,-1.73,0.487,-3.56,0.00037,0.0144,0.0205,PD
7648,MEF2C-AS1,Inhibitory Neurons,27.8,0.56,0.497,1.13,0.26,0.736,0.699,PD
7649,NR2F1-AS1,Inhibitory Neurons,93.3,0.378,0.276,1.37,0.17,0.695,0.6,PD
7650,CTD-2337A12.1,Inhibitory Neurons,40.9,0.427,0.377,1.13,0.258,0.736,0.698,PD
7651,CTD-2260A17.2,Inhibitory Neurons,35.5,0.0172,0.265,0.0648,0.948,0.984,0.991,PD
7652,CTD-2007H13.3,Inhibitory Neurons,28.4,-0.107,0.269,-0.396,0.692,0.924,0.931,PD
7653,CTC-254B4.1,Inhibitory Neurons,20.3,-0.29,0.481,-0.603,0.546,0.864,0.879,PD
7654,STARD4-AS1,Inhibitory Neurons,10.1,-0.133,0.436,-0.305,0.76,0.95,0.95,PD
7655,LINC01170,Inhibitory Neurons,60.9,0.19,0.51,0.372,0.71,0.939,0.936,PD
7656,LINC01184,Inhibitory Neurons,79.1,-0.48,0.227,-2.12,0.0344,0.31,0.304,PD
7657,RP11-381K20.2,Inhibitory Neurons,16.7,0.345,0.441,0.782,0.434,0.833,0.824,PD
7658,AC005592.2,Inhibitory Neurons,67.9,-0.583,0.508,-1.15,0.251,0.736,0.693,PD
7659,RP11-373N22.3,Inhibitory Neurons,21.8,0.387,0.434,0.892,0.373,0.817,0.791,PD
7660,CTB-12O2.1,Inhibitory Neurons,10.6,0.29,0.618,0.468,0.64,0.888,0.915,PD
7661,LINC01411,Inhibitory Neurons,11.1,-1.22,0.86,-1.42,0.156,0.679,0.574,PD
7662,GMDS-AS1,Inhibitory Neurons,47.4,-0.552,0.369,-1.49,0.135,0.632,0.54,PD
7663,RP3-510L9.1,Inhibitory Neurons,12.5,0.472,0.412,1.14,0.253,0.736,0.694,PD
7664,RP11-686D16.1,Inhibitory Neurons,10.4,-1.02,0.488,-2.09,0.0368,0.315,0.308,PD
7665,RP4-625H18.2,Inhibitory Neurons,100,-1.36,0.282,-4.83,1.35E-06,0.000237,0.000773,PD
7666,CASC15,Inhibitory Neurons,118,0.00904,0.247,0.0366,0.971,0.984,0.992,PD
7667,HCG17,Inhibitory Neurons,85.8,0.134,0.268,0.5,0.617,0.888,0.907,PD
7668,XXbac-BPG154L12.4,Inhibitory Neurons,15.5,1.34,0.604,2.22,0.0261,0.243,0.259,PD
7669,RP1-179N16.6,Inhibitory Neurons,10,1.06,0.542,1.96,0.0502,0.4,0.354,PD
7670,RP3-475N16.1,Inhibitory Neurons,14,-0.124,0.567,-0.218,0.827,0.974,0.968,PD
7671,XXbac-BPG55C20.7,Inhibitory Neurons,31.6,0.6,0.466,1.29,0.198,0.736,0.639,PD
7672,RP3-525N10.2,Inhibitory Neurons,14.9,-0.233,0.432,-0.539,0.59,0.879,0.899,PD
7673,RP11-398K22.12,Inhibitory Neurons,26.7,-0.127,0.293,-0.435,0.664,0.903,0.923,PD
7674,RP11-436D23.1,Inhibitory Neurons,457,-0.333,0.254,-1.31,0.19,0.736,0.626,PD
7675,TRAF3IP2-AS1,Inhibitory Neurons,150,0.0731,0.249,0.293,0.769,0.956,0.952,PD
7676,RP11-527F13.1,Inhibitory Neurons,11,0.301,0.439,0.686,0.493,0.861,0.858,PD
7677,RP11-545I5.3,Inhibitory Neurons,11.7,-0.293,0.512,-0.572,0.568,0.869,0.888,PD
7678,STXBP5-AS1,Inhibitory Neurons,202,0.406,0.247,1.65,0.1,0.575,0.473,PD
7679,RP11-307P5.1,Inhibitory Neurons,188,0.00992,0.274,0.0361,0.971,0.984,0.992,PD
7680,RP1-111C20.4,Inhibitory Neurons,29.5,-0.0333,0.301,-0.111,0.912,0.984,0.984,PD
7681,PSMB1,Inhibitory Neurons,17.1,0.295,0.351,0.839,0.402,0.821,0.806,PD
7682,AC003075.4,Inhibitory Neurons,19,-1.28,0.532,-2.4,0.0162,0.197,0.205,PD
7683,AC004540.5,Inhibitory Neurons,9.08,-0.548,0.632,-0.866,0.387,0.818,0.795,PD
7684,CTB-113D17.1,Inhibitory Neurons,9.36,1.05,0.775,1.35,0.177,0.699,0.608,PD
7685,INHBA-AS1,Inhibitory Neurons,13.3,0.118,0.533,0.221,0.825,0.974,0.968,PD
7686,APTR,Inhibitory Neurons,27.5,0.23,0.354,0.648,0.517,0.861,0.87,PD
7687,RP11-142A5.1,Inhibitory Neurons,11.7,-0.755,0.492,-1.53,0.125,0.626,0.524,PD
7688,AC007566.10,Inhibitory Neurons,17.4,0.527,0.338,1.56,0.12,0.618,0.514,PD
7689,LINC01004,Inhibitory Neurons,45.6,0.665,0.278,2.39,0.0167,0.197,0.207,PD
7690,RP5-921G16.1,Inhibitory Neurons,441,0.0782,0.192,0.407,0.684,0.923,0.929,PD
7691,POT1-AS1,Inhibitory Neurons,28.8,0.327,0.478,0.684,0.494,0.861,0.858,PD
7692,RP11-3B12.2,Inhibitory Neurons,24,0.472,0.398,1.19,0.236,0.736,0.679,PD
7693,AC016831.7,Inhibitory Neurons,13.8,-0.0021,0.581,-0.00362,0.997,1,0.999,PD
7694,AC009264.1,Inhibitory Neurons,17.3,-0.129,0.665,-0.193,0.847,0.976,0.972,PD
7695,AC009403.2,Inhibitory Neurons,9.97,-0.276,0.477,-0.579,0.562,0.869,0.887,PD
7696,PTCHD1-AS,Inhibitory Neurons,207,0.571,0.451,1.27,0.206,0.736,0.647,PD
7697,LINC01284,Inhibitory Neurons,13.1,0.657,0.382,1.72,0.0852,0.568,0.447,PD
7698,KANTR,Inhibitory Neurons,73.1,0.269,0.254,1.06,0.289,0.749,0.726,PD
7699,JPX,Inhibitory Neurons,88.7,-0.0512,0.306,-0.168,0.867,0.982,0.977,PD
7700,FTX,Inhibitory Neurons,753,-0.0938,0.151,-0.623,0.533,0.861,0.874,PD
7701,MIR325HG,Inhibitory Neurons,57,-0.198,0.418,-0.474,0.636,0.888,0.913,PD
7702,LINC00630,Inhibitory Neurons,25.6,-0.192,0.303,-0.633,0.527,0.861,0.873,PD
7703,DANT2,Inhibitory Neurons,218,-0.332,0.236,-1.41,0.159,0.679,0.58,PD
7704,RHOXF1-AS1,Inhibitory Neurons,30.9,0.26,0.393,0.661,0.508,0.861,0.865,PD
7705,RP11-1114A5.4,Inhibitory Neurons,21.1,0.305,0.321,0.949,0.343,0.802,0.768,PD
7706,LINC00632,Inhibitory Neurons,148,0.175,0.215,0.811,0.418,0.821,0.813,PD
7707,CDR1-AS,Inhibitory Neurons,50.2,-0.0906,0.51,-0.178,0.859,0.979,0.977,PD
7708,LINC00894,Inhibitory Neurons,31.4,-0.448,0.314,-1.43,0.153,0.679,0.57,PD
7709,RP11-378A12.1,Inhibitory Neurons,11.7,-0.539,0.704,-0.766,0.444,0.842,0.828,PD
7710,RP11-134O21.1,Inhibitory Neurons,28.1,0.433,0.313,1.38,0.167,0.689,0.594,PD
7711,MCPH1-AS1,Inhibitory Neurons,14.1,-0.258,0.361,-0.715,0.475,0.861,0.846,PD
7712,FAM85B,Inhibitory Neurons,82.1,-0.427,0.379,-1.13,0.26,0.736,0.699,PD
7713,LINC00599,Inhibitory Neurons,94.5,-0.353,0.3,-1.18,0.24,0.736,0.682,PD
7714,LINCR-0001,Inhibitory Neurons,11.9,0.354,0.452,0.784,0.433,0.833,0.824,PD
7715,FAM66D,Inhibitory Neurons,67.5,-0.546,0.379,-1.44,0.15,0.679,0.563,PD
7716,FAM66A,Inhibitory Neurons,7.77,0.188,0.702,0.268,0.789,0.965,0.958,PD
7717,RP11-624C23.1,Inhibitory Neurons,67.1,0.883,0.721,1.22,0.221,0.736,0.669,PD
7718,RP11-317N12.1,Inhibitory Neurons,19.6,0.564,0.438,1.29,0.198,0.736,0.639,PD
7719,RP11-32K4.1,Inhibitory Neurons,403,0.321,0.192,1.67,0.0949,0.57,0.462,PD
7720,MIR124-2HG,Inhibitory Neurons,150,-0.275,0.249,-1.1,0.27,0.746,0.71,PD
7721,MIR2052HG,Inhibitory Neurons,54.5,0.59,0.419,1.41,0.16,0.679,0.581,PD
7722,RP11-586K2.1,Inhibitory Neurons,22.1,0.439,0.379,1.16,0.247,0.736,0.689,PD
7723,RP11-37B2.1,Inhibitory Neurons,31.9,-0.0574,0.439,-0.131,0.896,0.984,0.982,PD
7724,RP11-410L14.2,Inhibitory Neurons,11.4,-0.283,0.428,-0.663,0.508,0.861,0.864,PD
7725,KB-1460A1.5,Inhibitory Neurons,11.8,0.82,0.528,1.55,0.12,0.618,0.515,PD
7726,AZIN1-AS1,Inhibitory Neurons,18.5,-0.968,0.412,-2.35,0.0186,0.197,0.219,PD
7727,PCAT1,Inhibitory Neurons,22.5,-0.332,0.45,-0.738,0.46,0.859,0.838,PD
7728,PVT1,Inhibitory Neurons,54.1,-0.319,0.339,-0.938,0.348,0.809,0.771,PD
7729,CCDC26,Inhibitory Neurons,9.58,-0.782,0.744,-1.05,0.294,0.749,0.73,PD
7730,RP11-30J20.1,Inhibitory Neurons,421,1.36,0.369,3.68,0.000234,0.012,0.0155,PD
7731,RP11-238K6.1,Inhibitory Neurons,19.1,-1.48,0.439,-3.38,0.000721,0.023,0.0313,PD
7732,VLDLR-AS1,Inhibitory Neurons,104,-9.96E-06,0.257,-3.87E-05,1,1,1,PD
7733,RFX3-AS1,Inhibitory Neurons,12.4,-1.62,0.569,-2.85,0.00442,0.0896,0.0957,PD
7734,GLIDR,Inhibitory Neurons,33.5,-0.676,0.369,-1.83,0.067,0.48,0.401,PD
7735,BMS1P14,Inhibitory Neurons,17.8,-0.488,0.488,-1,0.317,0.783,0.748,PD
7736,MAMDC2-AS1,Inhibitory Neurons,10,0.463,0.472,0.981,0.327,0.791,0.757,PD
7737,RORB-AS1,Inhibitory Neurons,11.1,0.176,0.533,0.331,0.741,0.95,0.944,PD
7738,LINC01508,Inhibitory Neurons,22.7,0.325,0.606,0.536,0.592,0.879,0.899,PD
7739,RP11-2B6.3,Inhibitory Neurons,16.9,-0.111,0.348,-0.319,0.75,0.95,0.947,PD
7740,LINC00476,Inhibitory Neurons,44.1,0.0896,0.255,0.352,0.725,0.948,0.939,PD
7741,RP11-535M15.1,Inhibitory Neurons,12.4,-0.167,0.414,-0.402,0.687,0.924,0.93,PD
7742,RP11-498P14.5,Inhibitory Neurons,18.1,-0.404,0.388,-1.04,0.299,0.749,0.734,PD
7743,RP11-554F20.1,Inhibitory Neurons,19.5,-0.303,0.39,-0.777,0.437,0.833,0.825,PD
7744,LINC01505,Inhibitory Neurons,28.3,0.556,0.4,1.39,0.164,0.687,0.589,PD
7745,C9orf147,Inhibitory Neurons,27.4,0.9,0.466,1.93,0.0531,0.414,0.361,PD
7746,MIR181A2HG,Inhibitory Neurons,18.2,0.611,0.365,1.67,0.0945,0.57,0.462,PD
7747,KRTAP5-AS1,Inhibitory Neurons,20.9,0.338,0.407,0.831,0.406,0.821,0.808,PD
7748,KCNQ1OT1,Inhibitory Neurons,206,-1.07,0.269,-3.97,7.21E-05,0.00506,0.00826,PD
7749,RP11-413N10.3,Inhibitory Neurons,73,-0.405,0.358,-1.13,0.258,0.736,0.698,PD
7750,RP11-467K18.2,Inhibitory Neurons,17.8,0.407,0.453,0.898,0.369,0.815,0.789,PD
7751,BDNF-AS,Inhibitory Neurons,16.7,-0.546,0.429,-1.27,0.203,0.736,0.643,PD
7752,NEAT1,Inhibitory Neurons,15.7,1.94,0.716,2.71,0.00676,0.124,0.125,PD
7753,MALAT1,Inhibitory Neurons,7560,-0.266,0.259,-1.03,0.305,0.759,0.739,PD
7754,AP000487.5,Inhibitory Neurons,11.8,0.258,0.397,0.65,0.516,0.861,0.87,PD
7755,RAB30-AS1,Inhibitory Neurons,22.6,-0.0579,0.388,-0.149,0.882,0.984,0.979,PD
7756,RP11-736K20.5,Inhibitory Neurons,13.7,-0.0648,0.41,-0.158,0.874,0.984,0.979,PD
7757,RP11-886D15.1,Inhibitory Neurons,50.1,-0.877,0.611,-1.44,0.151,0.679,0.565,PD
7758,AP000462.2,Inhibitory Neurons,10.2,0.45,0.724,0.622,0.534,0.861,0.874,PD
7759,IDI2-AS1,Inhibitory Neurons,18.8,-0.317,0.348,-0.911,0.362,0.815,0.783,PD
7760,RP11-499P20.2,Inhibitory Neurons,16.6,0.659,0.395,1.67,0.0958,0.57,0.464,PD
7761,WAC-AS1,Inhibitory Neurons,16.2,-0.271,0.443,-0.613,0.54,0.864,0.877,PD
7762,RP11-192P3.4,Inhibitory Neurons,26.5,-0.328,0.497,-0.66,0.509,0.861,0.865,PD
7763,ZEB1-AS1,Inhibitory Neurons,94,0.414,0.262,1.58,0.113,0.615,0.499,PD
7764,RP11-324I22.4,Inhibitory Neurons,18.9,0.253,0.406,0.623,0.533,0.861,0.874,PD
7765,TMEM72-AS1,Inhibitory Neurons,17.6,-0.379,0.417,-0.908,0.364,0.815,0.785,PD
7766,RP11-38L15.3,Inhibitory Neurons,27.2,0.0992,0.386,0.257,0.797,0.966,0.96,PD
7767,LINC00843,Inhibitory Neurons,12.8,-0.699,0.443,-1.58,0.114,0.615,0.502,PD
7768,ZMIZ1-AS1,Inhibitory Neurons,9.74,-1,0.49,-2.04,0.041,0.343,0.326,PD
7769,NUTM2B-AS1,Inhibitory Neurons,49.8,-0.308,0.277,-1.11,0.266,0.746,0.706,PD
7770,NUTM2A-AS1,Inhibitory Neurons,55.3,0.0138,0.302,0.0456,0.964,0.984,0.991,PD
7771,ENTPD1-AS1,Inhibitory Neurons,79.8,-0.0344,0.229,-0.15,0.881,0.984,0.979,PD
7772,OLMALINC,Inhibitory Neurons,15.6,0.624,0.494,1.26,0.206,0.736,0.648,PD
7773,WDR11-AS1,Inhibitory Neurons,25.8,0.0706,0.324,0.218,0.827,0.974,0.968,PD
7774,FAM66C,Inhibitory Neurons,27,-0.388,0.33,-1.17,0.24,0.736,0.683,PD
7775,LINC00937,Inhibitory Neurons,11.2,0.228,0.427,0.535,0.593,0.879,0.899,PD
7776,RP11-259O18.5,Inhibitory Neurons,15,-0.456,0.39,-1.17,0.242,0.736,0.685,PD
7777,LINC01252,Inhibitory Neurons,11.2,-0.865,0.504,-1.72,0.0858,0.568,0.448,PD
7778,RP11-405A12.2,Inhibitory Neurons,63.9,-0.612,0.361,-1.7,0.0897,0.57,0.455,PD
7779,RP11-664H17.1,Inhibitory Neurons,54.5,-0.529,0.429,-1.23,0.217,0.736,0.665,PD
7780,RASSF8-AS1,Inhibitory Neurons,10.6,-0.304,0.54,-0.562,0.574,0.872,0.892,PD
7781,RP11-96H19.1,Inhibitory Neurons,21.2,-0.386,0.429,-0.9,0.368,0.815,0.788,PD
7782,RP4-605O3.4,Inhibitory Neurons,23.2,0.048,0.422,0.114,0.909,0.984,0.984,PD
7783,RP11-766N7.3,Inhibitory Neurons,35.3,0.08,0.333,0.241,0.81,0.974,0.963,PD
7784,LINC01481,Inhibitory Neurons,108,-0.942,0.35,-2.69,0.00706,0.124,0.129,PD
7785,RP11-390N6.1,Inhibitory Neurons,11.8,0.522,0.861,0.606,0.545,0.864,0.879,PD
7786,RP1-78O14.1,Inhibitory Neurons,13.4,0.0566,0.917,0.0617,0.951,0.984,0.991,PD
7787,RP11-144F15.1,Inhibitory Neurons,23.7,0.267,0.386,0.692,0.489,0.861,0.855,PD
7788,RP11-768F21.1,Inhibitory Neurons,9.92,-0.0714,0.603,-0.118,0.906,0.984,0.983,PD
7789,LINC00598,Inhibitory Neurons,17.7,-0.194,0.454,-0.429,0.668,0.905,0.924,PD
7790,MIR4500HG,Inhibitory Neurons,13.7,0.36,0.531,0.677,0.498,0.861,0.861,PD
7791,LINC00609,Inhibitory Neurons,12,0.298,0.472,0.63,0.529,0.861,0.873,PD
7792,RP11-214N1.1,Inhibitory Neurons,11.9,0.341,0.387,0.88,0.379,0.817,0.792,PD
7793,RP11-596C23.6,Inhibitory Neurons,11.5,0.15,0.647,0.231,0.817,0.974,0.965,PD
7794,KTN1-AS1,Inhibitory Neurons,10.6,-0.115,0.45,-0.256,0.798,0.966,0.96,PD
7795,OTX2-AS1,Inhibitory Neurons,738,0.0265,0.235,0.112,0.911,0.984,0.984,PD
7796,RP11-1085N6.5,Inhibitory Neurons,14.8,0.735,0.489,1.5,0.133,0.631,0.537,PD
7797,RP11-72M17.1,Inhibitory Neurons,23,-0.646,0.417,-1.55,0.121,0.618,0.515,PD
7798,RP11-486O13.4,Inhibitory Neurons,46.5,-0.0155,0.28,-0.0553,0.956,0.984,0.991,PD
7799,RP3-414A15.10,Inhibitory Neurons,10.4,0.611,0.541,1.13,0.259,0.736,0.698,PD
7800,RP5-1021I20.5,Inhibitory Neurons,10.2,2.24,0.559,4.01,6.11E-05,0.00506,0.00751,PD
7801,MEG3,Inhibitory Neurons,20.9,-0.447,0.396,-1.13,0.259,0.736,0.698,PD
7802,RP11-123M6.2,Inhibitory Neurons,12.9,0.54,0.668,0.809,0.419,0.821,0.814,PD
7803,SNHG23,Inhibitory Neurons,96.3,-0.168,0.328,-0.514,0.608,0.888,0.905,PD
7804,RP11-260M19.2,Inhibitory Neurons,13.8,-0.501,0.478,-1.05,0.295,0.749,0.731,PD
7805,RP11-173D3.1,Inhibitory Neurons,14.5,0.15,0.489,0.306,0.759,0.95,0.949,PD
7806,RP11-484P15.1,Inhibitory Neurons,18.9,0.532,0.466,1.14,0.253,0.736,0.694,PD
7807,PWRN4,Inhibitory Neurons,10.1,0.753,0.45,1.67,0.0941,0.57,0.462,PD
7808,PWRN1,Inhibitory Neurons,72.5,0.349,0.326,1.07,0.284,0.749,0.72,PD
7809,PWAR6,Inhibitory Neurons,149,0.0644,0.363,0.177,0.859,0.979,0.977,PD
7810,RP11-1000B6.3,Inhibitory Neurons,21.9,0.105,0.36,0.291,0.771,0.956,0.953,PD
7811,RP11-323I15.5,Inhibitory Neurons,18.4,-1.51,0.412,-3.67,0.000239,0.012,0.0157,PD
7812,DPH6-AS1,Inhibitory Neurons,31.6,0.711,0.438,1.63,0.104,0.59,0.482,PD
7813,RP11-720L8.1,Inhibitory Neurons,16.4,0.461,0.577,0.8,0.424,0.822,0.819,PD
7814,RP11-624L4.1,Inhibitory Neurons,18.3,-0.994,0.422,-2.35,0.0187,0.197,0.219,PD
7815,GABPB1-AS1,Inhibitory Neurons,37.4,-0.518,0.423,-1.22,0.221,0.736,0.668,PD
7816,CTD-2378E12.1,Inhibitory Neurons,11.6,0.0212,0.434,0.0489,0.961,0.984,0.991,PD
7817,RP11-1129I3.1,Inhibitory Neurons,13,1.33,0.437,3.05,0.00231,0.0579,0.0675,PD
7818,RP11-39M21.1,Inhibitory Neurons,15.8,0.716,0.77,0.929,0.353,0.813,0.775,PD
7819,DRAIC,Inhibitory Neurons,17.4,0.115,0.417,0.276,0.783,0.964,0.956,PD
7820,THSD4-AS1,Inhibitory Neurons,13.9,0.461,0.479,0.962,0.336,0.792,0.762,PD
7821,ANKRD34C-AS1,Inhibitory Neurons,119,0.0765,0.224,0.341,0.733,0.95,0.943,PD
7822,RP11-382A20.4,Inhibitory Neurons,10.9,-0.507,0.514,-0.988,0.323,0.788,0.753,PD
7823,LINC01197,Inhibitory Neurons,49.2,0.0336,0.297,0.113,0.91,0.984,0.984,PD
