"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RP11-692D12.1",1.51040295992784e-52,-0.797370779995291,0.389,0.578,4.03836439395906e-48
"AC012593.1",1.39253813543804e-49,-0.590755714543781,0.653,0.801,3.72322921272068e-45
"GLIDR",5.88889754249749e-49,-0.962791792283324,0.275,0.45,1.57451453593755e-44
"RP1-223B1.1",3.40547350443861e-46,-0.624478798997699,0.511,0.686,9.1052145088175e-42
"AC016831.7",1.90311744242943e-45,1.34241380358738,0.328,0.174,5.08836510582357e-41
"AC009120.4",6.72536387917766e-44,-1.13181936791987,0.203,0.363,1.79816054037573e-39
"DANT2",9.49029429524775e-44,-0.654689471693619,0.488,0.651,2.53741998572039e-39
"RP11-72M17.1",1.54707263586339e-43,-1.83087984464199,0.053,0.168,4.13640810650794e-39
"XIST",3.37637431093189e-42,-1.35881498462971,0.078,0.205,9.02741199513859e-38
"RP11-1129I3.1",1.0454807845039e-41,1.7254260956466,0.183,0.062,2.79530197352807e-37
"RP11-284M14.1",1.07960596332604e-41,-0.694563691591051,0.499,0.637,2.88654246414483e-37
"FAM66C",2.47299648170296e-41,-0.906746327174791,0.248,0.407,6.6120506931292e-37
"SPANXA2-OT1",1.23972038855802e-39,-1.13942230051204,0.144,0.285,3.31464040288759e-35
"RP11-428O18.6",3.32785608207475e-39,-1.1175762222309,0.149,0.291,8.89768880664327e-35
"TMEM72-AS1",6.99614196138621e-37,-1.28651081598854,0.075,0.191,1.87055847621583e-32
"RP11-285F7.2",8.35072363193431e-37,-0.822862161596794,0.247,0.402,2.23273297747028e-32
"CTC-529P8.1",5.76593363691997e-36,-0.650873532803974,0.458,0.597,1.54163767650329e-31
"RP11-418J17.1",1.01184429296077e-35,0.738760410368383,0.513,0.363,2.70536808608921e-31
"CH17-189H20.1",1.4593633636593e-33,0.561249463986323,0.765,0.67,3.90189982541587e-29
"RP11-156K13.1",2.71693149894175e-33,-0.807301717980076,0.373,0.5,7.26425974872056e-29
"AP000282.2",3.48519707771784e-33,-1.00362553179656,0.15,0.28,9.31837142669418e-29
"PVRL3-AS1",1.43368438609431e-32,-1.37078375880274,0.048,0.14,3.83324194310037e-28
"RP5-921G16.1",1.55759402982832e-32,0.582437794784189,0.681,0.552,4.16453915755198e-28
"RP11-545I5.3",8.17661245454938e-32,-1.27650240950932,0.119,0.233,2.18618087197287e-27
"LINC01102",9.19976671335445e-31,-0.749811697374412,0.266,0.407,2.45974162614958e-26
"RP11-53O19.1",1.65536003223215e-30,-0.92871124270597,0.179,0.306,4.42593611817911e-26
"BAALC-AS1",2.96016179681405e-30,1.44239703470186,0.165,0.066,7.91458459614173e-26
"RP11-707P17.1",9.21758460574886e-30,0.807818857143438,0.406,0.272,2.46450559603907e-25
"RP11-72L22.1",1.22694946069673e-29,-1.75615073614794,0.037,0.117,3.28049477306486e-25
"AZIN1-AS1",5.11348288039958e-29,-0.991334700541646,0.154,0.273,1.36719191773244e-24
"RP11-141M1.3",1.474287788587e-28,-0.573522513367215,0.452,0.578,3.94180326034507e-24
"RP11-10L12.4",1.1106328093148e-27,1.08181304608444,0.253,0.14,2.96949894226499e-23
"RP11-398G24.2",4.03189114065602e-27,1.95671255570562,0.119,0.04,1.0780067342772e-22
"ENTPD1-AS1",6.06160694511628e-27,-0.462131853550155,0.622,0.725,1.62069184891574e-22
"PAXBP1-AS1",1.54107725003284e-26,-1.08424957970905,0.091,0.19,4.1203782434128e-22
"LINC01630",1.61579775155523e-26,-0.564044369059705,0.468,0.588,4.32015844833321e-22
"LINC01060",2.06139859548066e-26,1.56399171542355,0.15,0.062,5.51156142473664e-22
"BDNF-AS",4.97901336091698e-26,-0.614940379304823,0.392,0.517,1.33123880230837e-21
"ENTPD3-AS1",7.11442850552262e-26,-0.660216674118943,0.393,0.51,1.90218474952158e-21
"CASC2",1.93915820664022e-25,-1.3267073999696,0.059,0.142,5.18472729709396e-21
"AC073283.4",5.04297775699976e-25,0.581649550372584,0.65,0.557,1.34834096288903e-20
"RP11-469A15.2",3.23068101045175e-24,1.36844348697512,0.145,0.062,8.63787181764484e-20
"RP5-864K19.4",4.49894670054188e-24,0.483858486203893,0.621,0.517,1.20288337932388e-19
"THUMPD3-AS1",5.8899997784361e-23,0.702511254692675,0.431,0.319,1.57480924076046e-18
"PWRN1",1.0425742032518e-22,0.473016092848813,0.567,0.433,2.78753064723434e-18
"GMDS-AS1",2.19754241667594e-22,-0.481685673444058,0.501,0.616,5.87556915946645e-18
