"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","symbol"
"ENSG00000070214",0,1.91129427306256,0.995,0.665,0,"0","ENSG00000070214","SLC44A1"
"ENSG00000155849",0,1.39368638517013,0.985,0.657,0,"0","ENSG00000155849","ELMO1"
"ENSG00000198756",0,1.50700046452995,0.721,0.395,0,"0","ENSG00000198756","COLGALT2"
"ENSG00000046653",0,1.31052736975033,0.975,0.649,0,"0","ENSG00000046653","GPM6B"
"ENSG00000163602",0,1.62498169971486,0.801,0.478,0,"0","ENSG00000163602","RYBP"
"ENSG00000197959",0,1.18599714886781,0.986,0.665,0,"0","ENSG00000197959","DNM3"
"ENSG00000123684",0,1.89552102902933,0.813,0.492,0,"0","ENSG00000123684","LPGAT1"
"ENSG00000157654",0,3.23227147064061,0.459,0.146,0,"0","ENSG00000157654","PALM2-AKAP2"
"ENSG00000064042",0,1.38281312015876,0.962,0.65,0,"0","ENSG00000064042","LIMCH1"
"ENSG00000109458",0,1.39881616118997,0.939,0.627,0,"0","ENSG00000109458","GAB1"
"ENSG00000143153",0,1.03242390829117,0.783,0.472,0,"0","ENSG00000143153","ATP1B1"
"ENSG00000186417",0,0.961913727195382,0.655,0.344,0,"0","ENSG00000186417","GLDN"
"ENSG00000101542",0,0.36977035977087,0.882,0.571,0,"0","ENSG00000101542","CDH20"
"ENSG00000175155",0,1.79883268130423,0.699,0.388,0,"0","ENSG00000175155","YPEL2"
"ENSG00000159176",0,1.49367799734521,0.645,0.336,0,"0","ENSG00000159176","CSRP1"
"ENSG00000227392",0,3.17326962301381,0.385,0.076,0,"0","ENSG00000227392","HPN-AS1"
"ENSG00000129538",0,1.74330862276224,0.518,0.21,0,"0","ENSG00000129538","RNASE1"
"ENSG00000125247",0,2.03391612702763,0.559,0.252,0,"0","ENSG00000125247","TMTC4"
"ENSG00000165424",0,1.07192625664361,0.706,0.4,0,"0","ENSG00000165424","ZCCHC24"
"ENSG00000108387",0,2.13901017257133,0.544,0.239,0,"0","ENSG00000108387","SEPT4"
"ENSG00000187764",0,1.25056707831206,0.752,0.447,0,"0","ENSG00000187764","SEMA4D"
"ENSG00000204278",0,3.16701466271375,0.383,0.078,0,"0","ENSG00000204278","TMEM235"
"ENSG00000112379",0,1.39717547515459,0.795,0.491,0,"0","ENSG00000112379","ARFGEF3"
